Vp,	T,	n,	j
2344.34991104189,	27216.83252762247,	4.6093999262488657e+27,	-11814404857025.76
2344.34991104189,	27070.096212012788,	4.6093999262488657e+27,	-11718724009923.285
2344.34991104189,	12264.973375344896,	4.6093999262488657e+27,	-3422339331028.581
2344.34991104189,	17633.91648214597,	4.6093999262488657e+27,	-6124068806702.242
2344.34991104189,	20870.73889630637,	4.6093999262488657e+27,	-7923042730312.132
2344.34991104189,	25151.617763771825,	4.6093999262488657e+27,	-10492230095446.582
2344.34991104189,	3006.2711125800697,	4.6093999262488657e+27,	-251179955010.54718
2344.34991104189,	17471.808111815215,	4.6093999262488657e+27,	-6037297055943.026
2344.34991104189,	4381.104079320445,	4.6093999262488657e+27,	-511992854385.9777
2344.34991104189,	3305.20378513993,	4.6093999262488657e+27,	-300057593784.0259
2344.34991104189,	16549.646073583077,	4.6093999262488657e+27,	-5548941869075.199
2344.34991104189,	27197.687850700684,	4.6093999262488657e+27,	-11801902675122.408
2344.34991104189,	23021.44308153914,	4.6093999262488657e+27,	-9184069239550.146
2344.34991104189,	16821.765445023088,	4.6093999262488657e+27,	-5692010781786.633
2344.34991104189,	21853.747312973923,	4.6093999262488657e+27,	-8492424110373.718
2344.34991104189,	12138.988980562355,	4.6093999262488657e+27,	-3363728852016.9497
2344.34991104189,	24933.049060886744,	4.6093999262488657e+27,	-10355418516491.957
2344.34991104189,	6163.174070805363,	4.6093999262488657e+27,	-981461076801.3018
2344.34991104189,	10383.338972471,	4.6093999262488657e+27,	-2574702287518.6553
2344.34991104189,	16298.54732372448,	4.6093999262488657e+27,	-5417783013855.314
2344.34991104189,	5149.182530467702,	4.6093999262488657e+27,	-696411902267.023
2344.34991104189,	12782.945802473369,	4.6093999262488657e+27,	-3666009833183.4355
2344.34991104189,	4008.75041407044,	4.6093999262488657e+27,	-432385875263.7371
2344.34991104189,	5065.859399715315,	4.6093999262488657e+27,	-675100246079.4324
2344.34991104189,	12625.734618903292,	4.6093999262488657e+27,	-3591630557102.865
2344.34991104189,	15010.644867064528,	4.6093999262488657e+27,	-4757187648935.498
2344.34991104189,	26110.271777530357,	4.6093999262488657e+27,	-11099195318640.625
2344.34991104189,	2408.0224739062505,	4.6093999262488657e+27,	-166635574393.40802
2344.34991104189,	2253.0325756739035,	4.6093999262488657e+27,	-147603792726.68152
2344.34991104189,	27950.5525021866,	4.6093999262488657e+27,	-12297235192725.09
2344.34991104189,	13945.553480010663,	4.6093999262488657e+27,	-4226886865050.181
2344.34991104189,	12345.282547145458,	4.6093999262488657e+27,	-3459861357008.484
2344.34991104189,	26628.407919162288,	4.6093999262488657e+27,	-11432350281436.41
2344.34991104189,	12856.29167082626,	4.6093999262488657e+27,	-3700794316257.0664
2344.34991104189,	21877.754027077623,	4.6093999262488657e+27,	-8506465438777.578
2344.34991104189,	10686.9748599778,	4.6093999262488657e+27,	-2707355037743.1157
2344.34991104189,	6775.993429589966,	4.6093999262488657e+27,	-1175901232903.726
2344.34991104189,	21348.57554020199,	4.6093999262488657e+27,	-8198499432643.161
2344.34991104189,	4729.414380988539,	4.6093999262488657e+27,	-592278202358.8984
2344.34991104189,	8763.553034276325,	4.6093999262488657e+27,	-1901346458296.3176
2344.34991104189,	13443.32256653088,	4.6093999262488657e+27,	-3982318451698.0645
2344.34991104189,	27394.002110006528,	4.6093999262488657e+27,	-11930308043668.592
2344.34991104189,	19532.45498285953,	4.6093999262488657e+27,	-7164170463854.154
2344.34991104189,	24447.680060508075,	4.6093999262488657e+27,	-10053675879502.512
2344.34991104189,	5715.797141564627,	4.6093999262488657e+27,	-849848420070.3094
2344.34991104189,	4128.158786577047,	4.6093999262488657e+27,	-457206790992.9077
2344.34991104189,	25973.56861578724,	4.6093999262488657e+27,	-11012006156999.496
2344.34991104189,	20079.12375718536,	4.6093999262488657e+27,	-7471415867918.256
2344.34991104189,	19970.71074405522,	4.6093999262488657e+27,	-7410147887582.635
2344.34991104189,	14886.334159301286,	4.6093999262488657e+27,	-4694561341892.516
2344.34991104189,	6586.307803723063,	4.6093999262488657e+27,	-1114027861556.5986
2344.34991104189,	15226.042404119586,	4.6093999262488657e+27,	-4866248132021.48
2344.34991104189,	7678.750589596671,	4.6093999262488657e+27,	-1489181468420.5474
2344.34991104189,	25354.11194296114,	4.6093999262488657e+27,	-10619516176005.506
2344.34991104189,	7331.678268676802,	4.6093999262488657e+27,	-1365244044964.8572
2344.34991104189,	23189.716053278684,	4.6093999262488657e+27,	-9285182856463.143
2344.34991104189,	23560.80382865337,	4.6093999262488657e+27,	-9509850436897.896
2344.34991104189,	1836.71120104632,	4.6093999262488657e+27,	-102227821440.77274
2344.34991104189,	25811.17211092072,	4.6093999262488657e+27,	-10908667244641.562
2344.34991104189,	24150.42135051072,	4.6093999262488657e+27,	-9870317239555.26
2344.34991104189,	20408.61195002162,	4.6093999262488657e+27,	-7658471191462.891
2344.34991104189,	24269.600801081797,	4.6093999262488657e+27,	-9943690834629.533
2344.34991104189,	9918.802689902945,	4.6093999262488657e+27,	-2375301175285.943
2344.34991104189,	15990.24776155598,	4.6093999262488657e+27,	-5257866309058.817
2344.34991104189,	27462.305620647825,	4.6093999262488657e+27,	-11975121220968.523
2344.34991104189,	24600.531479793237,	4.6093999262488657e+27,	-10148394284547.639
2344.34991104189,	9759.542986315222,	4.6093999262488657e+27,	-2308055466887.158
2344.34991104189,	25408.862925513426,	4.6093999262488657e+27,	-10654025578973.652
2344.34991104189,	5265.333060762108,	4.6093999262488657e+27,	-726652951937.019
2344.34991104189,	19236.436204176785,	4.6093999262488657e+27,	-6999278287843.313
2344.34991104189,	26066.87282609132,	4.6093999262488657e+27,	-11071485641219.508
2344.34991104189,	27925.564377409333,	4.6093999262488657e+27,	-12280651564174.346
2344.34991104189,	11170.531888023976,	4.6093999262488657e+27,	-2921994137720.0615
2344.34991104189,	10336.522031790675,	4.6093999262488657e+27,	-2554388154436.8784
2344.34991104189,	13827.817788468126,	4.6093999262488657e+27,	-4169272862316.0938
2344.34991104189,	6034.943430882611,	4.6093999262488657e+27,	-942814406913.69
2344.34991104189,	21119.383558773803,	4.6093999262488657e+27,	-8066155960422.903
2344.34991104189,	7514.419925918274,	4.6093999262488657e+27,	-1429992301690.229
2344.34991104189,	16233.461190040827,	4.6093999262488657e+27,	-5383929003004.651
2344.34991104189,	27306.28004685968,	4.6093999262488657e+27,	-11872865238509.936
2344.34991104189,	16418.12689688056,	4.6093999262488657e+27,	-5480124973281.201
2344.34991104189,	8134.3528485043325,	4.6093999262488657e+27,	-1657958232963.2637
2344.34991104189,	2496.9986174882347,	4.6093999262488657e+27,	-178091299128.13596
2344.34991104189,	14859.81895902881,	4.6093999262488657e+27,	-4681207011597.265
2344.34991104189,	15277.4036522293,	4.6093999262488657e+27,	-4892369265988.762
2344.34991104189,	2826.82775069369,	4.6093999262488657e+27,	-223960312833.75882
2344.34991104189,	3374.410190198635,	4.6093999262488657e+27,	-312002268910.52435
2344.34991104189,	4956.153390445596,	4.6093999262488657e+27,	-647521712391.9001
2344.34991104189,	13078.710757792374,	4.6093999262488657e+27,	-3806852301872.68
2344.34991104189,	10599.811387355445,	4.6093999262488657e+27,	-2669096989316.7627
2344.34991104189,	11338.01339680775,	4.6093999262488657e+27,	-2997308150576.7993
2344.34991104189,	15490.217371365809,	4.6093999262488657e+27,	-5000944320447.521
2344.34991104189,	20181.99825925977,	4.6093999262488657e+27,	-7529708400545.945
2344.34991104189,	26973.733093491184,	4.6093999262488657e+27,	-11656039269611.115
2344.34991104189,	11641.61215267504,	4.6093999262488657e+27,	-3135156769995.416
2344.34991104189,	11446.579403537851,	4.6093999262488657e+27,	-3046412258754.109
2344.34991104189,	11827.088852042054,	4.6093999262488657e+27,	-3220079180692.6904
2344.34991104189,	5925.121185792657,	4.6093999262488657e+27,	-910304728127.2456
2344.34991104189,	8215.194952895517,	4.6093999262488657e+27,	-1688582886406.1633
2344.34991104189,	19457.797496922703,	4.6093999262488657e+27,	-7122491671533.554
2344.34991104189,	10122.665331561697,	4.6093999262488657e+27,	-2462176621235.4683
2344.34991104189,	14274.621384209797,	4.6093999262488657e+27,	-4389134808669.9688
2344.34991104189,	27860.000765999677,	4.6093999262488657e+27,	-12237218596353.008
2344.34991104189,	5423.874536571799,	4.6093999262488657e+27,	-768938623182.6091
2344.34991104189,	25735.78397208569,	4.6093999262488657e+27,	-10860797624047.04
2344.34991104189,	15133.502342236265,	4.6093999262488657e+27,	-4819308003709.061
2344.34991104189,	22965.485736356903,	4.6093999262488657e+27,	-9150545962105.775
2344.34991104189,	5766.963293754382,	4.6093999262488657e+27,	-864442538669.3622
2344.34991104189,	9323.344151828309,	4.6093999262488657e+27,	-2126916471108.8076
2344.34991104189,	23896.42001439281,	4.6093999262488657e+27,	-9714539264149.703
2344.34991104189,	3250.8358520304946,	4.6093999262488657e+27,	-290839502926.36365
2344.34991104189,	20218.43807533253,	4.6093999262488657e+27,	-7550391252600.185
2344.34991104189,	24660.403436511257,	4.6093999262488657e+27,	-10185573873486.477
2344.34991104189,	23784.43655791905,	4.6093999262488657e+27,	-9646106158698.564
2344.34991104189,	18709.5268838667,	4.6093999262488657e+27,	-6708546623464.063
2344.34991104189,	24821.04388091541,	4.6093999262488657e+27,	-10285533802101.703
2344.34991104189,	18914.408286331916,	4.6093999262488657e+27,	-6821253923287.527
2344.34991104189,	3725.774562041136,	4.6093999262488657e+27,	-376271710114.37616
2344.34991104189,	14012.798255622489,	4.6093999262488657e+27,	-4259890741446.085
2344.34991104189,	9840.681485808442,	4.6093999262488657e+27,	-2342250691657.1724
2344.34991104189,	26438.883229088704,	4.6093999262488657e+27,	-11310174771694.912
2344.34991104189,	28070.49340227064,	4.6093999262488657e+27,	-12376942859525.684
2344.34991104189,	22258.3429543055,	4.6093999262488657e+27,	-8730044453519.596
2344.34991104189,	8590.259985916142,	4.6093999262488657e+27,	-1833185914265.4397
2344.34991104189,	23940.89714723378,	4.6093999262488657e+27,	-9741749434543.617
2344.34991104189,	23637.78716929254,	4.6093999262488657e+27,	-9556694575783.678
2344.34991104189,	5129.14378677997,	4.6093999262488657e+27,	-691257431974.7854
2344.34991104189,	3159.508838143071,	4.6093999262488657e+27,	-275683239728.7013
2344.34991104189,	24007.287179800835,	4.6093999262488657e+27,	-9782423133682.475
2344.34991104189,	26245.09180829433,	4.6093999262488657e+27,	-11185601899271.889
2344.34991104189,	4425.138557430004,	4.6093999262488657e+27,	-521834182852.3542
2344.34991104189,	6279.657196334147,	4.6093999262488657e+27,	-1017191717751.5282
2344.34991104189,	14738.268355355833,	4.6093999262488657e+27,	-4620104377728.55
2344.34991104189,	28063.174949855245,	4.6093999262488657e+27,	-12372071005039.03
2344.34991104189,	4798.248271027499,	4.6093999262488657e+27,	-608799698681.8359
2344.34991104189,	19808.608100044115,	4.6093999262488657e+27,	-7318857255099.293
2344.34991104189,	24771.00361797701,	4.6093999262488657e+27,	-10254365211172.807
2344.34991104189,	14973.49157479324,	4.6093999262488657e+27,	-4738451915103.455
2344.34991104189,	14793.25490515008,	4.6093999262488657e+27,	-4647731854586.026
2344.34991104189,	5338.872867420449,	4.6093999262488657e+27,	-746121759565.0519
2344.34991104189,	5491.530972485563,	4.6093999262488657e+27,	-787338326180.9565
2344.34991104189,	5830.726063095897,	4.6093999262488657e+27,	-882801134159.2365
2344.34991104189,	6650.030219329311,	4.6093999262488657e+27,	-1134649951127.6128
2344.34991104189,	17033.535667305357,	4.6093999262488657e+27,	-5803954561252.341
2344.34991104189,	1682.3032912355195,	4.6093999262488657e+27,	-87500621883.56396
2344.34991104189,	22379.716779167404,	4.6093999262488657e+27,	-8801760607371.049
